2025-06-08 07:11:11 | INFO | Тестирование соединения с API...
2025-06-08 07:11:11 | INFO | Используемый API URL: http://localhost:8000/test/hs/api
2025-06-08 07:11:11 | INFO | Базовый URL для запросов: http://localhost:8000/test/hs
2025-06-08 07:11:11 | DEBUG | Making GET request to: http://localhost:8000/test/hs
2025-06-08 07:11:11 | DEBUG | API response status: 404
2025-06-08 07:11:11 | INFO | Результат теста API: 404
2025-06-08 07:11:11 | INFO | Тестирование запроса категорий...
2025-06-08 07:11:11 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/categories
2025-06-08 07:11:11 | DEBUG | API response status: 200
2025-06-08 07:11:11 | INFO | Результат запроса категорий: 200
2025-06-08 07:11:11 | INFO | Бот настроен на использование реального API
2025-06-08 07:11:11 | INFO | Бот запущен
2025-06-08 07:13:26 | INFO | Тестирование соединения с API...
2025-06-08 07:13:26 | INFO | Используемый API URL: http://localhost:8000/test/hs/api
2025-06-08 07:13:26 | INFO | Базовый URL для запросов: http://localhost:8000/test/hs
2025-06-08 07:13:26 | DEBUG | Making GET request to: http://localhost:8000/test/hs
2025-06-08 07:13:26 | DEBUG | API response status: 404
2025-06-08 07:13:26 | INFO | Результат теста API: 404
2025-06-08 07:13:26 | INFO | Тестирование запроса категорий...
2025-06-08 07:13:26 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/categories
2025-06-08 07:13:26 | DEBUG | API response status: 200
2025-06-08 07:13:26 | INFO | Результат запроса категорий: 200
2025-06-08 07:13:26 | INFO | Бот настроен на использование реального API
2025-06-08 07:13:26 | INFO | Бот запущен
2025-06-08 07:15:09 | INFO | Тестирование соединения с API...
2025-06-08 07:15:09 | INFO | Используемый API URL: http://localhost:8000/test/hs/api
2025-06-08 07:15:09 | INFO | Базовый URL для запросов: http://localhost:8000/test/hs
2025-06-08 07:15:09 | DEBUG | Making GET request to: http://localhost:8000/test/hs
2025-06-08 07:15:09 | DEBUG | API response status: 404
2025-06-08 07:15:09 | INFO | Результат теста API: 404
2025-06-08 07:15:09 | INFO | Тестирование запроса категорий...
2025-06-08 07:15:09 | DEBUG | Making GET request to: http://localhost:8000/test/hs/api/catalog/categories
2025-06-08 07:15:09 | DEBUG | API response status: 200
